  1          2                    3           4      5     6    7    8       9           10   11     12       13     14   
Field      J-name                zgal        dra    dd   theta ref  mag    filter       ref  mag    filter    ref   SED
1127-145   J113007.05-144927.38  0.33293    9999   9999  38.12  10  19.76  F814W(V)      10   9999  9999      9999  (Sbc)
SDSS       J113757.02+085017.21  0.3356     -3.9    5.2   6.47  6   21.76  g(AB)         15  20.81  r(AB)     15    Scd  
SDSS       J114144.62+080614.79  0.2290      3.1  -20.7  20.93  6   20.12  g(AB)         15  19.44  r(AB)     15    Scd  
SDSS       J114144.62+080614.79  0.3583      7.7   -9.5  12.18  6   21.24  g(AB)         15  20.14  r(AB)     15    Sbc  
SDSS       J114444.63+071443.75  0.4906     10.1   12.7  16.15  12  22.07  g(AB)         15  20.23  r(AB)     15    E/S0 
SDSS       J114518.47+451601.4   0.13389    21.6    6.1  16.38  11  17.04  r(AB)         15  14.58  K_s(V)    16    Im   
SDSS       J114657.91+020712.69  0.5437     11.1    4.2  11.72  12  22.11  g(AB)         15  20.53  r(AB)     15    E/S0 
SDSS       J114803.17+565411.4   0.10451    10.1   14.5  15.51  11  16.49  r(AB)         15  13.06  K_s(V)    16    E/S0 
1148+387   J115129.37+382552.35  0.5536     -0.2    3.2   3.20  3   20.94  F702W(V)      3   18.10  K_s(V)    8     Scd  
SDSS       J120932.26+004555.92  0.2533     -9.7   -9.7  13.72  6   21.86  g(AB)         15  20.62  r(AB)     15    E/S0 
1209+107   J121140.59+103002.02  0.392       5.3    4.8   7.12  3   21.74  F702W(V)      3   19.20  K_s(V)    8     Scd  
1222+228   J122527.39+223513.0   0.5502      4.5    3.9   5.92  3   22.50  F702W(V)      3   18.80  K_s(V)    8     E/S0 
1229-021   J123200.01-022405.27  0.7546     9999   9999   1.70  8   22.90  R_s(AB)       8   19.20  K_s(V)    8     Sbc  
1241+572   J124154.02+572107.0   0.2052671  -4.4   -6.4   6.86  18  19.90  F814W(AB)     18  20.00  r(AB)     15    Scd
1241+176   J124410.82+172104.52  0.550       3.3    0.5   3.31  3   21.39  F702W(V)      3   18.43  K_s(V)    8     Sbc  
1245+345   J124727.83+341509.56  0.941      9999   9999   3.50  8   22.90  R_s(AB)       8   19.53  K_s(V)    8     Im   
1246-057   J124913.85-055919.07  0.637      -4.0    1.6   4.25  3   22.21  F702W(V)      3   18.80  K_s(V)    8     Sbc  
1248+401   J125048.32+395139.48  0.7725     9999   9999   4.80  8   23.35  R_s(AB)       8   19.70  K_s(V)    8     Scd  
1254+047   J125659.92+042734.39  0.9341     9999   9999   1.60  8   24.30  R_s(AB)       8   20.20  K_s(V)    8     Sbc  
SDSS       J125739.22+144806.26  0.4648     -4.2   -4.1   5.77  6   21.03  g(AB)         15  20.39  r(AB)     15    Im   
SDSS       J130554.17+014929.82  0.1747     43.2   -7.5  43.82  6   19.04  g(AB)         15  17.81  r(AB)     15    E/S0 
SDSS       J130554.17+014929.82  0.2258     19.8   -1.2  19.83  6   20.30  g(AB)         15  19.39  r(AB)     15    Sbc  
SDSS       J131815.12+012450.67  0.5405     10.6  -12.9  16.66  12  22.65  g(AB)         15  21.01  r(AB)     15    E/S0 
1317+277   J131956.23+272808.22  0.6610     -6.3  -13.5  14.88  3   21.34  F702W(V)      3   18.07  K_s(V)    8     Sbc  
1317+277   J131956.23+272808.22  0.6719     -6.9    4.6   8.27  2   20.95  F702W(V)      2   17.57  K_s(V)    8     Sbc  
1322+464   J132222.68+464535.22  0.2144314  -3.2   10.8  10.98  18  18.60  F814W(AB)     18  19.08  r(AB)     15    Sbc
1321+294   J132320.55+291007.15  0.231      9999   9999   4.70  8   20.09  R_s(AB)       8   16.64  K_s(V)    8     E/S0 
SDSS       J132757.41+101141.78  0.2557     -2.8   -5.8   6.42  6   21.63  g(AB)         15  20.77  r(AB)     15    Scd  
SDSS       J132831.08+075942.01  0.2358     24.7   10.6  26.66  6   20.15  g(AB)         15  19.52  r(AB)     15    Im   
SDSS       J132831.08+075942.01  0.3323      6.8    1.0   6.81  6   20.64  g(AB)         15  19.57  r(AB)     15    Sbc  
1331+170   J133335.78+164904.01  0.7443     9999   9999   4.20  8   23.25  R_s(AB)       8   18.54  K_s(V)    8     E/S0 
1332+552   J133411.70+550124.98  0.373      -2.6    4.7   5.42  3   19.39  F702W(V)      3   16.15  K_s(V)    8     E/S0 
1340-006   J134251.60-005345.3   0.2270416   3.9   -8.8   9.59  18  18.20  F814W(AB)     18  18.57  r(AB)     15    Scd
1354+195   J135704.43+191907.37  0.44060   -21.7  -12.1  24.82  2   20.96  F702W(V)      2   18.04  K'(V)     14    Sbc  
1354+195   J135704.43+191907.37  0.4592      1.4    7.7   7.80  3   21.08  F702W(V)      3   18.17  K_s(V)    8     Sbc  
SDSS       J140619.61+130106.82  0.1748    -18.6   36.8  41.02  6   19.07  g(AB)         15  18.13  r(AB)     15    Sbc  
SDSS       J140619.61+130106.82  0.2220      4.8   -1.6   4.94  6   20.65  g(AB)         15  19.96  r(AB)     15    Scd  
SDSS       J140843.77+004730.46  0.1146    -22.9    4.6  23.40  13  17.41  r(AB)         15  13.67  K_s(V)    16    E/S0 
